Date,Open,High,Low,Close,Adj Close,Volume
2019-01-04,242.0,250.0,242.0,248.0,224.47752380371094,77600
2019-01-07,253.0,262.0,253.0,260.0,235.33934020996094,70000
2019-01-08,262.0,267.0,260.0,265.0,239.86509704589844,57900
2019-01-09,265.0,272.0,261.0,267.0,241.67539978027344,70100
2019-01-10,262.0,268.0,259.0,265.0,239.86509704589844,68700
2019-01-11,262.0,268.0,262.0,263.0,238.05477905273438,76000
2019-01-15,261.0,265.0,259.0,263.0,238.05477905273438,47400
2019-01-16,260.0,264.0,255.0,256.0,231.71875,65300
2019-01-17,255.0,256.0,251.0,253.0,229.00328063964844,65000
2019-01-18,255.0,260.0,254.0,254.0,229.90843200683594,56800
2019-01-21,255.0,258.0,254.0,257.0,232.62388610839844,25400
2019-01-22,258.0,258.0,255.0,256.0,231.71875,21600
2019-01-23,251.0,256.0,251.0,252.0,228.09814453125,39600
2019-01-24,255.0,256.0,252.0,253.0,229.00328063964844,37700
2019-01-25,251.0,261.0,251.0,253.0,229.00328063964844,51800
2019-01-28,254.0,254.0,250.0,251.0,227.19297790527344,45200
2019-01-29,251.0,252.0,248.0,251.0,227.19297790527344,60600
2019-01-30,251.0,253.0,246.0,246.0,222.667236328125,95900
2019-01-31,248.0,249.0,245.0,246.0,222.667236328125,55200
2019-02-01,246.0,246.0,232.0,240.0,217.23631286621094,122200
2019-02-04,243.0,252.0,243.0,248.0,224.47752380371094,124900
2019-02-05,250.0,254.0,247.0,253.0,229.00328063964844,36200
2019-02-06,254.0,254.0,248.0,252.0,228.09814453125,44800
2019-02-07,251.0,253.0,248.0,251.0,227.19297790527344,70500
2019-02-08,249.0,252.0,245.0,248.0,224.47752380371094,63000
2019-02-12,248.0,254.0,248.0,251.0,227.19297790527344,28700
2019-02-13,252.0,254.0,249.0,254.0,229.90843200683594,60900
2019-02-14,255.0,259.0,255.0,259.0,234.4342041015625,47800
2019-02-15,260.0,266.0,259.0,264.0,238.95994567871094,82700
2019-02-18,269.0,269.0,263.0,269.0,243.48573303222656,42200
2019-02-19,268.0,278.0,267.0,278.0,251.63204956054688,52600
2019-02-20,279.0,284.0,276.0,277.0,250.72694396972656,47700
2019-02-21,277.0,281.0,275.0,278.0,251.63204956054688,62500
2019-02-22,277.0,278.0,273.0,276.0,249.82177734375,30100
2019-02-25,279.0,283.0,279.0,282.0,255.252685546875,53400
2019-02-26,281.0,282.0,275.0,277.0,250.72694396972656,61200
2019-02-27,278.0,282.0,278.0,281.0,254.34751892089844,35300
2019-02-28,282.0,282.0,276.0,280.0,253.44235229492188,47200
2019-03-01,282.0,282.0,278.0,280.0,253.44235229492188,31700
2019-03-04,279.0,281.0,278.0,279.0,252.53721618652344,48000
2019-03-05,277.0,280.0,277.0,280.0,253.44235229492188,27200
2019-03-06,279.0,280.0,277.0,277.0,250.72694396972656,32900
2019-03-07,278.0,280.0,276.0,280.0,253.44235229492188,39700
2019-03-08,277.0,278.0,270.0,270.0,244.39085388183594,94400
2019-03-11,273.0,280.0,272.0,279.0,252.53721618652344,28900
2019-03-12,279.0,283.0,277.0,279.0,252.53721618652344,47500
2019-03-13,278.0,282.0,274.0,274.0,248.01144409179688,16900
2019-03-14,276.0,276.0,272.0,273.0,247.10630798339844,14900
2019-03-15,276.0,280.0,274.0,277.0,250.72694396972656,75400
2019-03-18,278.0,278.0,272.0,273.0,247.10630798339844,32600
2019-03-19,274.0,274.0,265.0,269.0,243.48573303222656,41400
2019-03-20,269.0,272.0,267.0,270.0,244.39085388183594,36400
2019-03-22,272.0,272.0,268.0,271.0,245.2960205078125,32100
2019-03-25,270.0,271.0,262.0,262.0,237.14964294433594,53000
2019-03-26,264.0,281.0,264.0,276.0,249.82177734375,63300
2019-03-27,275.0,277.0,273.0,277.0,258.2113037109375,32300
2019-03-28,276.0,276.0,269.0,270.0,251.6861114501953,19900
2019-03-29,272.0,272.0,266.0,266.0,247.95741271972656,22200
2019-04-01,266.0,278.0,266.0,274.0,255.41477966308594,44700
2019-04-02,279.0,280.0,275.0,276.0,257.2791442871094,24200
2019-04-03,275.0,277.0,272.0,275.0,256.34698486328125,27300
2019-04-04,274.0,277.0,274.0,274.0,255.41477966308594,26800
2019-04-05,275.0,275.0,272.0,274.0,255.41477966308594,22800
2019-04-08,275.0,275.0,269.0,270.0,251.6861114501953,11400
2019-04-09,271.0,271.0,268.0,270.0,251.6861114501953,9500
2019-04-10,265.0,267.0,262.0,266.0,247.95741271972656,23600
2019-04-11,266.0,266.0,264.0,264.0,246.09307861328125,9600
2019-04-12,266.0,266.0,260.0,261.0,243.29656982421875,22600
2019-04-15,267.0,274.0,265.0,274.0,255.41477966308594,66400
2019-04-16,270.0,270.0,264.0,269.0,250.75396728515625,42500
2019-04-17,269.0,270.0,265.0,267.0,248.8896026611328,27300
2019-04-18,263.0,265.0,262.0,263.0,245.16090393066406,47300
2019-04-19,264.0,264.0,261.0,261.0,243.29656982421875,9300
2019-04-22,261.0,262.0,261.0,261.0,243.29656982421875,38600
2019-04-23,261.0,261.0,259.0,260.0,242.36439514160156,12100
2019-04-24,262.0,266.0,260.0,260.0,242.36439514160156,48300
2019-04-25,259.0,263.0,259.0,262.0,244.22874450683594,56100
2019-04-26,260.0,262.0,259.0,260.0,242.36439514160156,48100
2019-05-07,258.0,262.0,258.0,258.0,240.50006103515625,26600
2019-05-08,254.0,266.0,252.0,261.0,243.29656982421875,119400
2019-05-09,261.0,262.0,257.0,259.0,241.43222045898438,84700
