"Symbol","Description","Local Symbol","IPO Date","Category1","Category2","Category3","GICS Sector","ISIN","SEDOL","Market Cap","Currency","Actions"
"JT:7203","Toyota Motor Corporation","7203","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","JP3633400001","6900643","27,791,772,876,800","JPY","Analyze"
"JT:6861","Keyence Corporation","6861","12/25/1989","Global Equity","Common stocks","Developed markets ex-US","Information Technology","JP3236200006","6490995","17,849,986,842,624","JPY","Analyze"
"JT:6758","Sony Corporation","6758","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","JP3435000009","6821506","15,271,216,545,792","JPY","Analyze"
"JT:9437","NTT DOCOMO, INC","9437","10/22/1998","Global Equity","Common stocks","Developed markets ex-US","Communication Services","JP3165650007","6129277","12,527,084,765,184","JPY","Analyze"
"JT:9432","Nippon Telegraph and Telephone Corporation","9432","02/10/1987","Global Equity","Common stocks","Developed markets ex-US","Communication Services","JP3735400008","6641373","11,880,038,924,288","JPY","Analyze"
"JT:6098","Recruit Holdings Co., Ltd","6098","10/16/2014","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3970300004","BQRRZ00","11,521,110,310,912","JPY","Analyze"
"JT:9984","SoftBank Group Corp","9984","07/22/1994","Global Equity","Common stocks","Developed markets ex-US","Communication Services","JP3436100006","6770620","11,411,025,559,552","JPY","Analyze"
"JT:4063","Shin-Etsu Chemical Co., Ltd","4063","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Materials","JP3371200001","6804585","8,855,675,207,680","JPY","Analyze"
"JT:9433","KDDI Corporation","9433","09/03/1993","Global Equity","Common stocks","Developed markets ex-US","Communication Services","JP3496400007","6248990","8,719,176,302,592","JPY","Analyze"
"JT:8035","Tokyo Electron Limited","8035","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Information Technology","JP3571400005","6895675","8,622,247,510,016","JPY","Analyze"
"JT:8306","Mitsubishi UFJ Financial Group, Inc","8306","04/02/2001","Global Equity","Common stocks","Developed markets ex-US","Financials","JP3902900004","6335171","8,240,646,586,368","JPY","Analyze"
"JT:6367","Daikin Industries,Ltd","6367","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3481800005","6250724","8,194,059,927,552","JPY","Analyze"
"JT:6594","Nidec Corporation","6594","09/16/1998","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3734800000","6640682","8,075,431,903,232","JPY","Analyze"
"JT:9983","Fast Retailing Co., Ltd","9983","04/02/1997","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","JP3802300008","6332439","7,799,495,458,816","JPY","Analyze"
"JT:9434","Softbank Corp","9434","12/19/2018","Global Equity","Common stocks","Developed markets ex-US","Communication Services","JP3732000009","BF5M0K5","7,512,080,252,928","JPY","Analyze"
"JT:4519","Chugai Pharmaceutical Co., Ltd","4519","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Health Care","JP3519400000","6196408","6,899,322,322,944","JPY","Analyze"
"JT:7741","HOYA Corporation","7741","10/01/1984","Global Equity","Common stocks","Developed markets ex-US","Health Care","JP3837800006","6441506","6,790,259,933,184","JPY","Analyze"
"JT:6981","Murata Manufacturing Co., Ltd","6981","01/06/1984","Global Equity","Common stocks","Developed markets ex-US","Information Technology","JP3914400001","6610403","6,510,117,126,144","JPY","Analyze"
"JT:6501","Hitachi, Ltd","6501","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3788600009","6429104","6,382,414,200,832","JPY","Analyze"
"JT:7974","Nintendo Co., Ltd","7974","01/09/1984","Global Equity","Common stocks","Developed markets ex-US","Communication Services","JP3756600007","6639550","6,301,706,878,976","JPY","Analyze"
"JT:6902","DENSO Corporation","6902","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","JP3551500006","6640381","6,052,035,166,208","JPY","Analyze"
"JT:2413","M3, Inc","2413","09/16/2004","Global Equity","Common stocks","Developed markets ex-US","Health Care","JP3435750009","B02K2M3","6,038,723,493,888","JPY","Analyze"
"JT:4502","Takeda Pharmaceutical Company Limited","4502","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Health Care","JP3463000004","6870445","5,996,056,936,448","JPY","Analyze"
"JT:7267","Honda Motor Co., Ltd","7267","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","JP3854600008","6435145","5,961,523,134,464","JPY","Analyze"
"JT:4661","Oriental Land Co., Ltd","4661","12/11/1996","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","JP3198900007","6648891","5,611,095,851,008","JPY","Analyze"
"JT:4689","Yahoo Japan Corporation","4689","11/04/1997","Global Equity","Common stocks","Developed markets ex-US","Communication Services","JP3933800009","6084848","5,606,740,066,304","JPY","Analyze"
"JT:8316","Sumitomo Mitsui Financial Group, Inc","8316","12/02/2002","Global Equity","Common stocks","Developed markets ex-US","Financials","JP3890350006","6563024","5,442,255,192,064","JPY","Analyze"
"JT:8058","Mitsubishi Corporation","8058","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3898400001","6596785","5,374,516,133,888","JPY","Analyze"
"JT:8001","ITOCHU Corporation","8001","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3143600009","6467803","5,289,300,983,808","JPY","Analyze"
"JT:6273","SMC Corporation","6273","12/24/1987","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3162600005","6763965","5,242,390,315,008","JPY","Analyze"
"JT:6954","Fanuc Corporation","6954","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3802400006","6356934","5,107,873,218,560","JPY","Analyze"
"JT:4568","Daiichi Sankyo Company, Limited","4568","09/28/2005","Global Equity","Common stocks","Developed markets ex-US","Health Care","JP3475350009","B0J7D91","4,869,088,870,400","JPY","Analyze"
"JT:3382","Seven & i Holdings Co., Ltd","3382","09/01/2005","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","JP3422950000","B0FS5D6","4,584,364,310,528","JPY","Analyze"
"JT:6702","Fujitsu Limited","6702","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Information Technology","JP3818000006","6356945","4,242,421,579,776","JPY","Analyze"
"JT:8766","Tokio Marine Holdings, Inc","8766","04/01/2002","Global Equity","Common stocks","Developed markets ex-US","Financials","JP3910660004","6513126","4,158,334,435,328","JPY","Analyze"
"JT:4543","Terumo Corporation","4543","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Health Care","JP3546800008","6885074","4,133,879,021,568","JPY","Analyze"
